Search Term,cámara chilena de la construcción
Geography,CL
Time Period,5Y
Type,Web Search
,
Time (week of),Normalized Value (0-100)
2020-02-22,0
2020-02-29,0
2020-03-07,0
2020-03-14,0
2020-03-21,0
2020-03-28,0
2020-04-04,0
2020-04-11,0
2020-04-18,0
2020-04-25,0
2020-05-02,0
2020-05-09,0
2020-05-16,0
2020-05-23,0
2020-05-30,0
2020-06-06,0
2020-06-13,0
2020-06-20,0
2020-06-27,0
2020-07-04,0
2020-07-11,0
2020-07-18,0
2020-07-25,0
2020-08-01,0
2020-08-08,0
2020-08-15,0
2020-08-22,0
2020-08-29,0
2020-09-05,0
2020-09-12,43
2020-09-19,40
2020-09-26,35
2020-10-03,22
2020-10-10,18
2020-10-17,21
2020-10-24,15
2020-10-31,14
2020-11-07,13
2020-11-14,0
2020-11-21,18
2020-11-28,17
2020-12-05,16
2020-12-12,12
2020-12-19,14
2020-12-26,0
2021-01-02,0
2021-01-09,0
2021-01-16,16
2021-01-23,0
2021-01-30,0
2021-02-06,0
2021-02-13,19
2021-02-20,41
2021-02-27,27
2021-03-06,41
2021-03-13,76
2021-03-20,88
2021-03-27,100
2021-04-03,82
2021-04-10,47
2021-04-17,77
2021-04-24,29
2021-05-01,26
2021-05-08,21
2021-05-15,29
2021-05-22,48
2021-05-29,28
2021-06-05,36
2021-06-12,35
2021-06-19,20
2021-06-26,28
2021-07-03,35
2021-07-10,16
2021-07-17,0
2021-07-24,19
2021-07-31,20
2021-08-07,20
2021-08-14,0
2021-08-21,21
2021-08-28,18
2021-09-04,23
2021-09-11,21
2021-09-18,28
2021-09-25,25
2021-10-02,25
2021-10-09,15
2021-10-16,25
2021-10-23,20
2021-10-30,0
2021-11-06,31
2021-11-13,23
2021-11-20,21
2021-11-27,31
2021-12-04,0
2021-12-11,0
2021-12-18,18
2021-12-25,20
2022-01-01,18
2022-01-08,31
2022-01-15,23
2022-01-22,18
2022-01-29,18
2022-02-05,20
2022-02-12,0
2022-02-19,16
2022-02-26,26
2022-03-05,22
2022-03-12,34
2022-03-19,24
2022-03-26,41
2022-04-02,35
2022-04-09,42
2022-04-16,43
2022-04-23,54
2022-04-30,42
2022-05-07,35
2022-05-14,39
2022-05-21,35
2022-05-28,45
2022-06-04,37
2022-06-11,43
2022-06-18,32
2022-06-25,32
2022-07-02,31
2022-07-09,27
2022-07-16,25
2022-07-23,31
2022-07-30,37
2022-08-06,41
2022-08-13,23
2022-08-20,32
2022-08-27,30
2022-09-03,38
2022-09-10,17
2022-09-17,35
2022-09-24,32
2022-10-01,38
2022-10-08,32
2022-10-15,38
2022-10-22,46
2022-10-29,34
2022-11-05,46
2022-11-12,47
2022-11-19,37
2022-11-26,46
2022-12-03,33
2022-12-10,29
2022-12-17,48
2022-12-24,35
2022-12-31,33
2023-01-07,38
2023-01-14,37
2023-01-21,42
2023-01-28,33
2023-02-04,36
2023-02-11,27
2023-02-18,31
2023-02-25,28
2023-03-04,19
2023-03-11,31
2023-03-18,30
2023-03-25,23
2023-04-01,20
2023-04-08,23
2023-04-15,31
2023-04-22,11
2023-04-29,19
2023-05-06,16
2023-05-13,18
2023-05-20,20
2023-05-27,10
2023-06-03,14
2023-06-10,18
2023-06-17,11
2023-06-24,0
2023-07-01,0
2023-07-08,0
2023-07-15,0
2023-07-22,15
2023-07-29,0
2023-08-05,0
2023-08-12,0
2023-08-19,14
2023-08-26,11
2023-09-02,15
2023-09-09,0
2023-09-16,0
2023-09-23,14
2023-09-30,12
2023-10-07,20
2023-10-14,14
2023-10-21,0
2023-10-28,13
2023-11-04,0
2023-11-11,11
2023-11-18,14
2023-11-25,0
2023-12-02,13
2023-12-09,0
2023-12-16,17
2023-12-23,21
2023-12-30,19
2024-01-06,13
2024-01-13,19
2024-01-20,23
2024-01-27,16
2024-02-03,17
2024-02-10,0
2024-02-17,30
2024-02-24,17
2024-03-02,29
2024-03-09,23
2024-03-16,25
2024-03-23,21
2024-03-30,26
2024-04-06,20
2024-04-13,22
2024-04-20,18
2024-04-27,24
2024-05-04,26
2024-05-11,35
2024-05-18,21
2024-05-25,22
2024-06-01,18
2024-06-08,26
2024-06-15,18
2024-06-22,29
2024-06-29,20
2024-07-06,19
2024-07-13,25
2024-07-20,25
2024-07-27,17
2024-08-03,18
2024-08-10,14
2024-08-17,28
2024-08-24,21
2024-08-31,0
2024-09-07,17
2024-09-14,0
2024-09-21,22
2024-09-28,12
2024-10-05,28
2024-10-12,33
2024-10-19,0
2024-10-26,15
2024-11-02,22
2024-11-09,31
2024-11-16,18
2024-11-23,18
2024-11-30,20
2024-12-07,29
2024-12-14,0
2024-12-21,0
2024-12-28,0
2025-01-04,0
2025-01-11,0
2025-01-18,0
2025-01-25,23
2025-02-01,0
2025-02-08,3
2025-02-15,16
2025-02-22,15